EVEN_ID	EVENT_NAME	CONTENT	EVENT_TYPE
Y8d62d6	事主报吃自助餐商家驱赶其。 报警人询问情况告知已通知相关单位。 事主再报催促处理告知已通知。	事主报吃自助餐商家驱赶其。 报警人询问情况告知已通知相关单位。 事主再报催促处理告知已通知。	0
Y2dfd98	咨询被拖欠工资的问题	其在**区***路56号外卖站点上班被站长拖欠工作。其报警被告知会通知相关人员与其联系现已过去一个小时还未有人与其联系咨询如何处理。	0
Yf4289c	事主报在该处买卤料对方缺斤少两需要工商部门处理。 催促处理告知已派。 再报催促处理。	事主报在该处买卤料对方缺斤少两需要工商部门处理。 催促处理告知已派。 再报催促处理。	0
Yfcd834	事主报在该处店面买到发霉的火腿肠人不适。事主称其多次反映无人联系 再报需联系处理。	事主报在该处店面买到发霉的火腿肠人不适。事主称其多次反映无人联系 再报需联系处理。	1
Y58400e	事主购买的猪肚是臭的也不让退。 事主再报:对方已经退钱无需处理	事主购买的猪肚是臭的也不让退。 事主再报:对方已经退钱无需处理	1
Y9c5d73	咨询在***闽**购买到过期茅台的问题	其在***闽**购买到过期茅台咨询如何处理。	0
Yeee829	无健康证上岗工作	投诉**区**镇***路365号*********老板***未取得健康证上岗工作!给顾客带来一定的卫生问题!	1
Yf6545e	事主购买榴莲烂了**不退。	事主购买榴莲烂了**不退。	0
Yb0d9bb	报警人在该处吃饭吃到蟑螂现人不舒服在医院需要相关部门处理。	报警人在该处吃饭吃到蟑螂现人不舒服在医院需要相关部门处理。	1
Yc1cf5f	咨询***餐馆卫生差的问题	其表示**区***餐馆卫生存在问题沟通*反映人表示核查下具体哪一家***。	1
Yc1ed36	单号20211111202107申请撤案	本人于2021年11月11日在**12345网站反应的事件编号为20211111202107的“*市花在**海鲜**用餐后感染海鲜创伤弧菌死亡一事”现当事人双方已就此事达成和解谅解本人对事件编号20211111202107申请撤销不再要求公安、疾控、**监督局对**市***********追究任何责任。	1
Y6782ab	查询反映件处理情况	查询反映件处理情况(登记号:******************年5月25日来电反映有关当天生产的面包有霉点的问题)。	1
Ye5ab35	事主报其小孩(***11岁**中心**4年级3班学生)1月5日在学校用餐后出现身体不适症状11日在校用餐后又出现食物中毒的症状并送医处理后有找学校出面与送餐公司协商但至今没有解决求助民警处理。	事主报其小孩(***11岁**中心**4年级3班学生)1月5日在学校用餐后出现身体不适症状11日在校用餐后又出现食物中毒的症状并送医处理后有找学校出面与送餐公司协商但至今没有解决求助民警处理。	1
Ya4f84e	事主报其家小孩在幼儿园呕吐怀疑跟幼儿园食物有关报警人还未到医院检查小孩已先接**现场跟幼儿园工作人员有纠纷。(已流转职能部门处置)	事主报其家小孩在幼儿园呕吐怀疑跟幼儿园食物有关报警人还未到医院检查小孩已先接**现场跟幼儿园工作人员有纠纷。(已流转职能部门处置)	1
Y7b500b	盼盼面包未拆封有异物要求赔偿一千元	我在拼**盼盼官方旗舰店购买的面包于23日晚上发现一根毛发未拆封拍照录视频取证了为了证明未拆封我录视频用力按压没有漏气等现象联系商家一直踢皮球不把消费者生命***回事一会要求寄回一会要求线下检测分明就是套路想要把证据销毁对于这种商家必须严惩不贷维护消费者权益(**市**区***623号14楼A单元)	1
Yeedf57	咨询想投诉某餐饮店碗筷未清洗干净的问题	其想投诉某餐饮店碗筷未清洗干净存在卫生问题要求提供举报电话让其自行投诉。	1
Yce1a9d	肉臭了不新鲜	点了外卖家里人吃了**臭了恶心?希望你们能去**查	1
Ycce267	转接电	2022年5月30日下午其到**购买鸡腿现回家发现购买的鸡腿发臭。现其要求固定证据并解决问题。	1
Ye61b79	事主在隔壁报昨天中午在该处吃饭下午拉肚子怀疑该处食品存在***卫生问题求助处置。	事主在隔壁报昨天中午在该处吃饭下午拉肚子怀疑该处食品存在***卫生问题求助处置。	1
